url,image,name
,images/news/2268_1.jpg,""
fullnews.php?news=2268,,Черкаський державний бізнес-коледж успішно пройшов акредитацію!
,images/news/2266_1.jpg,""
fullnews.php?news=2266,,Конгрес місцевих та регіональних влад
,images/news/2267_1.jpg,""
fullnews.php?news=2267,,МАЙСТЕР-КЛАС ДЛЯ ДІТЕЙ ВПО! 
,images/news/2265_1.jpg,""
fullnews.php?news=2265,,ГУМАНІТАРНА ДОПОМОГА З БІЛЕФЕЛЬД! 
,images/news/2263_1.jpg,""
fullnews.php?news=2263,,НАВЧАЛЬНА ГРА ПРО КІБЕРБЕЗПЕКУ ТА ФІНАНСОВИЙ ЗАХИСТ У ВОЄННИЙ ЧАС! 
,images/news/2264_1.jpg,""
fullnews.php?news=2264,,СТУДЕНТИ Кафедра комп'ютерної інженерії та інформаційних технологій ЧДБК ЗНАЙОМИЛИСЯ З ОСОБЛИВОСТЯМИ РОБОТИ ПОДАТКОВОЇ СЛУЖБИ ОБЛАСТІ!
,images/news/2260_1.jpg,""
fullnews.php?news=2260,,СТУДЕНТИ ЧДБК РОЗВИВАЮТЬ СВІЙ ПОТЕНЦІАЛ У СФЕРІ КІБЕРБЕЗПЕКИ!
,images/news/2261_1.jpg,""
fullnews.php?news=2261,,ЗБІР НА РЕМОНТ АВТО ДЛЯ В/Ч А 4756
,images/news/2257_1.jpg,""
fullnews.php?news=2257,, І ТУР МІЖНАРОДНОЇ ЕКОНОМІЧНОЇ ОЛІМПІАДИ! 
,images/news/2258_1.jpg,""
fullnews.php?news=2258,,1 МІСЦЕ В ОБЛАСНОМУ ЕТАПІ КОНКУРСУ З УКРАЇНСЬКОЇ МОВИ ІМЕНІ ПЕТРА ЯЦИКА 
,images/news/2259_1.jpg,""
fullnews.php?news=2259,,ВІТАЄМО НАУКОВЦІВ ЧЕРКАСЬКОГО ДЕРЖАВНОГО БІЗНЕС-КОЛЕДЖУ!
,images/news/2256_1.jpg,""
fullnews.php?news=2256,,ВОЛОНТЕРСЬКА СПІВПРАЦЯ ДЛЯ ГРОМАДСЬКОГО РОЗВИТКУ
,images/news/2254_1.jpg,""
fullnews.php?news=2254,,1 МІСЦЕ  В ОБЛАСНОМУ ЕТАПІ  XIV  МОВНО-ЛІТЕРАТУРНОГО КОНКУРСУ ІМ. ТАРАСА ШЕВЧЕНКА 
,images/news/2255_1.jpg,""
fullnews.php?news=2255,,529 377 ГРН МІСЯЧНЙ СТИПЕНДІАЛЬНИЙ ФОНД!
,images/news/2253_1.jpg,""
fullnews.php?news=2253,,СТУДЕНТИ ЧДБК РОЗПОЧАЛИ НАВЧАННЯ ЗА ПРОГРАМОЮ #ERASMUS+ У ЛАТВІЇ 
,images/news/2249_1.jpg,""
fullnews.php?news=2249,,29 СІЧНЯ ПОЧАТОК ДРУГОГО НАВЧАЛЬНОГО СЕМЕСТРУ! 
,images/news/2252_1.jpg,""
fullnews.php?news=2252,,"ВСЕУКРАЇНСЬКА ВИСТАВКА ""МОЛОДІЖНА МИСТЕЦЬКА ПАЛІТРА"""
,images/news/2250_1.jpg,""
fullnews.php?news=2250,,ПІДСУМКИ ЗАСІДАННЯ МЕТОДИЧНОЇ РАДИ!
,images/news/2251_1.jpg,""
fullnews.php?news=2251,,Підготовка до вступної кампанії 2024!
,images/news/2247_1.jpg,""
fullnews.php?news=2247,,Наукова рада ЧДБК!
,images/news/2248_1.jpg,""
fullnews.php?news=2248,,практикa в ІТ-компанії EPAM Systems
,images/news/2246_1.jpg,""
fullnews.php?news=2246,,"Підписано угоду про академічну мобільність з університетом Тімішоара, Румунія"
,images/news/2245_1.jpg,""
fullnews.php?news=2245,,З ДНЕМ СОБОРНОСТІ УКРАЇНИ!
,images/news/2243_1.jpg,""
fullnews.php?news=2243,,ШЛЯХ ДО УСПІХУ: ДОСЯГНЕННЯ СТУДЕНТІВ ЧДБК В АРІЗОНІ ТА ЇХНІЙ ВНЕСОК У ПРИРОДОЗБЕРЕЖЕННЯ!
,images/news/2244_1.jpg,""
